"","auction","time","nick","price","sell_price","winner_bids","winner_bidsnumb","winner_bidprice","bids_numb","type","seller","winner","delivery","weekdays","month"
"1",3256452,2012-04-03 00:14:39,"sasa9",850,54,40,40,1,"53","1",-319,316,16,"2","4"
"2",3258787,2012-04-04 00:21:41,"elenka_s",850,1.75,16,2,8,"3","0",-821.25,672.75,372.75,"3","4"
"3",3267818,2012-04-09 00:23:05,"Oni",850,103.25,557,88,6.329545455,"409","1",2934.25,746.75,446.75,"1","4"
"4",3286363,2012-04-17 00:08:28,"Rokhmistrov",850,51.5,480,80,6,"202","1",1019.5,276.5,-23.5,"2","4"
"5",3319346,2012-04-28 00:03:20,"grantorino",850,14.5,175.5,27,6.5,"54","1",-349.5,835.5,535.5,"6","4"
"6",3323251,2012-04-29 00:17:50,"Felizia",850,4,0,6,0,"12","1",-738,846,546,"7","4"
"7",3356956,2012-05-14 00:16:36,"andrewstrl ",850,40.25,522,75,6.96,"157","1",603.25,809.75,509.75,"1","5"
"8",3244269,2012-04-02 00:00:07,"sasa9",6400,561,150,15,10,"560","1",-799,5689,5389,"1","4"
"9",3338318,2012-05-18 00:20:38,"Kludor",6400,89,3.25,2,1.625,"88","1",-5519,6307.75,6007.75,"5","5"
"10",3158973,2012-02-25 00:04:30,"Rotas ",6400,907,433.16,52,8.33,"906","1",2661,5059.84,4759.84,"6","2"
"11",3244136,2012-04-05 00:00:16,"sasa9",5700,288.25,246,41,6,"1149","1",4929.25,5165.75,4865.75,"4","4"
"12",3271325,2012-04-11 00:05:53,"renat1989",5700,1179.75,8940,1490,6,"4715","1",37914.75,-4419.75,-4719.75,"3","4"
"13",3353314,2012-05-13 00:11:31,"Felizia",5700,303,351,54,6.5,"302","1",-2679,5046,4746,"7","5"
"14",3244252,2012-04-04 00:00:51,"renat1989",14500,2176,1668,278,6,"2175","1",7251,10656,10356,"3","4"
"15",3188137,2012-03-10 00:08:55,"TheRock ",14500,3457,5726.5,661,8.663388805,"3456","1",20061,5316.5,5016.5,"6","3"
"16",3244253,2012-04-02 00:20:12,"fail111",2300,57.25,513.5,79,6.5,"225","1",-217.75,1729.25,1429.25,"1","4"
"17",3256382,2012-04-04 00:08:58,"Snap",2300,4,60,6,10,"12","1",-2188,2236,1936,"3","4"
"18",3292597,NA,"Rotas ",2300,313.25,270,45,6,"1249","1",9254.25,1716.75,1416.75,NA,NA
"19",3299256,2012-04-23 00:20:57,"Rokhmistrov ",2300,665.75,7508,117,64.17094017,"2659","1",22296.75,-5873.75,-6173.75,"1","4"
"20",3319558,2012-04-29 00:18:09,"Rokhmistrov ",2300,162.5,480,96,5,"646","1",3676.5,1657.5,1357.5,"7","4"
"21",3328984,2012-05-02 00:19:09,"Evgeniy1966 ",2300,52.75,731,102,7.166666667,"207","1",-384.25,1516.25,1216.25,"3","5"
"22",3247589,2012-03-30 00:22:57,"and13",1200,57.25,150,15,10,"225","1",882.25,992.75,692.75,"5","3"
"23",3254538,2012-04-02 00:15:55,"narl1",1200,12,126,21,6,"44","1",-792,1062,762,"1","4"
"24",3257347,2012-04-04 00:12:15,"ter0956800",1200,153.25,2408.4,303,7.948514851,"609","1",4434.25,-1361.65,-1661.65,"3","4"
"25",3261312,2012-04-05 00:21:56,"andrewstrl",1200,179.75,2241,357,6.277310924,"715","1",5414.75,-1220.75,-1520.75,"4","4"
"26",3273389,2012-04-11 00:16:12,"oxisto",1200,19.5,0,30,0,"74","1",-514.5,1180.5,880.5,"3","4"
"27",3216547,2012-03-16 00:18:11,"Rad-i-k ",1200,126,57,6,9.5,"125","1",51,1017,717,"5","3"
"28",3213287,2012-03-15 00:17:34,"stounsi ",1200,68.25,36,4,9,"67,25","1",-526.5,1095.75,795.75,"4","3"
"29",3193914,2012-03-11 00:14:08,"gemorr ",1200,36,20,2,10,"35","1",-849,1144,844,"7","3"
"30",3186559,2012-03-11 00:01:24,"Bauman",1200,31.25,531,59,9,"30,25","1",-896.5,637.75,337.75,"7","3"
"31",3177217,2012-03-06 00:17:10,"z-x",1200,75,460,46,10,"74","1",-459,665,365,"2","3"
"32",3165858,2012-03-02 00:20:37,"-k- ",1200,22.5,379,42,9.023809524,"21,5","1",-984,798.5,498.5,"5","3"
"33",3154663,2012-02-26 00:14:44,"kochanoba ",1200,80.5,792,88,9,"79,5","1",-404,327.5,27.5,"7","2"
"34",3244277,2012-04-02 00:17:02,"wmz1",750,45.75,810,90,9,"179","1",906.75,-105.75,-405.75,"1","4"
"35",3258539,2012-04-04 00:17:30,"narl1",750,6.25,6.5,5,1.3,"21","1",-554.75,737.25,437.25,"3","4"
"36",3319345,2012-04-28 00:22:18,"Rokhmistrov ",750,2.75,2,4,0.5,"7","0",-684.25,745.25,445.25,"6","4"
"37",3349254,2012-05-11 00:12:29,"svetulya1234 ",750,10.75,110.5,13,8.5,"39","1",-388.25,628.75,328.75,"5","5"
"38",3359983,2012-05-16 00:09:20,"Youf ",750,16.25,186,31,6,"61","1",-184.75,547.75,247.75,"3","5"
"39",3244174,2012-04-04 00:17:10,"Kludor",10500,296.5,3474.25,537,6.469739292,"13893","1",114833.5,6729.25,6429.25,"3","4"
"40",3265514,2012-04-08 00:05:47,"TheRock",10500,830.25,3604,541,6.661737523,"14412","1",120038.25,6065.75,5765.75,"7","4"
"41",3152649,NA,"narl1 ",10500,1805,8320.84,885,9.402079096,"1804","1",7541,374.16,74.16,NA,NA
"42",3274428,2012-04-16 00:19:35,"renat1989",16300,763.25,30,6,5,"3049","1",11904.25,15506.75,15206.75,"1","4"
"43",3221786,2012-04-08 00:20:36,"gonum",3250,131.25,1697.5,207,8.200483092,"521","1",1570.25,1421.25,1121.25,"7","4"
"44",3173229,2012-03-05 00:17:00,"paradiz ",3250,19.5,307,31,9.903225806,"74","1",-2564.5,2923.5,2623.5,"1","3"
"45",3139824,2012-02-20 00:08:47,"cashe2011 ",3250,881,13212.53,1729,7.641717756,"3520","1",29311,-10843.53,-11143.53,"1","2"
"46",3256759,2012-04-03 00:22:07,"BETEP-BETEPOK",2250,11,24,4,6,"10","1",-2149,2215,1915,"2","4"
"47",3244198,2012-04-04 00:14:45,"andren92",2250,12.5,196,21,9.333333333,"46","1",-1823.5,2041.5,1741.5,"3","4"
"48",3319886,2012-04-28 00:00:58,"veronika2011 ",2250,164.25,39,6,6.5,"653","1",3791.25,2046.75,1746.75,"6","4"
"49",3345473,2012-05-09 00:17:39,"gonum",2250,30.75,325,54,6.018518519,"119","1",-1148.25,1894.25,1594.25,"3","5"
"50",3274452,2012-04-16 00:23:14,"andren92",26800,547,130.25,36,3.618055556,"546","1",-21339,26122.75,25822.75,"1","4"
"51",3274441,2012-04-17 00:20:47,"Frolo",13700,1900,702,117,6,"1899","1",5291,11098,10798,"2","4"
"52",3274453,2012-04-16 00:21:59,"cashe2011",5600,38,315.5,62,5.088709677,"148","1",-4230,5246.5,4946.5,"1","4"
"53",3259329,2012-04-05 00:21:23,"elenka_s",3800,583,6717.28,1163,5.775821152,"2328","1",17735,-3500.28,-3800.28,"4","4"
"54",3177231,2012-03-06 00:15:01,"Evgeniy1966 ",3800,45.25,693.5,83,8.355421687,"177","1",-2161.75,3061.25,2761.25,"2","3"
"55",3166227,2012-03-02 00:14:50,"gemorr ",3800,7.25,68,8,8.5,"25","1",-3567.75,3724.75,3424.75,"5","3"
"56",3156134,2012-02-24 00:16:29,"ginkosan ",3800,65.25,450.5,63,7.150793651,"257","1",-1421.75,3284.25,2984.25,"5","2"
"57",3244213,2012-04-04 00:20:59,"narl1",800,12.25,180,22,8.181818182,"45","1",-382.75,607.75,307.75,"3","4"
"58",3267582,2012-04-08 00:18:02,"PPlehner",800,66,263,35,7.514285714,"260","1",1606,471,171,"7","4"
"59",3286362,2012-04-17 00:12:36,"ter0956800",800,112.25,1401.4,201,6.972139303,"445","1",3317.25,-713.65,-1013.65,"2","4"
"60",3317683,2012-04-27 00:01:26,"elenka_s",800,79.25,1021,157,6.503184713,"313","1",2096.25,-300.25,-600.25,"5","4"
"61",3322424,2012-04-28 00:18:24,"Frolo",800,12,120,20,6,"44","1",-392,668,368,"6","4"
"62",3326639,2012-05-01 00:13:02,"ramzes8611",800,2.5,7,3,2.333333333,"6","1",-743.5,790.5,490.5,"2","5"
"63",3363113,2012-05-17 00:11:44,"wmz1",800,10.75,84,12,7,"39","1",-438.25,705.25,405.25,"4","5"
"64",3244228,2012-04-04 00:07:21,"serocco",3650,54,126.5,19,6.657894737,"53","1",-3119,3469.5,3169.5,"3","4"
"65",3325236,2012-04-30 00:12:59,"narl1",3650,355,4219,703,6.001422475,"1416","1",9449,-924,-1224,"1","4"
"66",3224573,2012-03-24 00:15:49,"cashe2011",550,5.75,68.5,8,8.5625,"19","1",-373.25,475.75,175.75,"6","3"
"67",3149623,2012-02-22 00:13:55,"express2404 ",550,2.5,27,3,9,"6","1",-493.5,520.5,220.5,"3","2"
"68",3156863,2012-02-24 00:11:59,"zyrmaks ",550,14,108,3,36,"52","1",-68,428,128,"5","2"
"69",3167153,2012-02-28 00:17:40,"alatyr8211 ",550,2.75,40,4,10,"7","1",-484.25,507.25,207.25,"2","2"
"70",3168971,2012-03-02 00:08:08,"Revenger",550,7,100,10,10,"24","1",-327,443,143,"5","3"
"71",3174443,2012-03-02 00:23:22,"narl1 ",550,12,220,22,10,"44","1",-142,318,18,"5","3"
"72",3219333,2012-03-18 00:14:29,"zyrmaks ",550,34.5,108,13,8.307692308,"134","1",690.5,407.5,107.5,"7","3"
"73",3218416,2012-03-17 00:14:08,"sirstoun ",550,9,60,6,10,"32","1",-253,481,181,"6","3"
